,SKN load,MSR load,ATG load,GLP load,DMA load,MTQ load,LCA load,SVG load,GRD load,BRB load
47,29.68,1.77,47.28,214.9,13.8,198.2,51.2,19.7,29.0,129.6
48,27.27,1.64,44.67,202.6,12.9,183.5,47.2,18.5,26.2,122.7
49,25.76,1.55,41.59,187.9,12.2,173.3,45.4,17.2,25.0,114.9
50,25.61,1.5,40.74,183.7,11.7,168.4,44.0,16.6,24.6,112.3
51,24.95,1.52,39.69,181.3,11.8,166.7,43.8,16.8,23.9,110.8
52,25.62,1.53,40.05,185.6,11.9,168.5,43.4,17.0,24.7,110.0
53,26.64,1.61,42.91,198.0,12.5,178.6,45.9,17.6,25.7,116.4
54,27.89,1.67,44.47,207.9,13.2,187.4,48.2,18.6,26.8,122.8
55,31.12,1.82,49.73,225.7,14.3,204.8,53.9,20.3,29.9,136.0
56,33.84,2.01,53.82,246.0,15.8,224.6,57.9,22.2,32.6,146.5
57,34.32,2.08,55.85,257.1,16.1,231.2,59.2,23.0,33.1,151.4
58,35.43,2.16,57.49,261.8,16.4,236.3,62.3,23.3,34.3,156.2
59,35.94,2.17,57.96,268.3,16.8,241.4,62.2,24.1,35.0,158.8
60,36.06,2.16,58.17,265.4,17.1,243.3,63.1,24.0,35.5,160.8
61,36.07,2.13,57.53,262.5,16.6,238.5,61.7,23.7,34.8,157.0
62,34.83,2.13,55.54,254.0,16.3,234.2,61.2,23.7,33.6,152.5
63,34.85,2.08,55.82,250.8,16.3,230.1,59.8,23.2,33.6,153.4
64,32.91,1.98,53.13,248.3,15.5,222.7,57.8,22.3,32.6,147.6
65,32.9,2.01,53.11,241.2,15.4,222.5,57.1,22.5,31.9,147.4
66,36.63,2.21,59.3,272.1,17.3,247.4,64.3,24.8,36.1,164.6
67,36.93,2.22,58.9,272.3,17.3,249.0,65.3,24.7,35.8,165.2
68,35.77,2.15,57.99,258.3,16.8,238.4,61.2,24.0,34.9,157.7
69,33.31,1.98,53.04,243.8,15.7,222.1,58.4,21.9,32.5,147.5
70,31.83,1.92,51.13,233.5,14.9,211.0,55.7,21.0,30.8,140.9
71,29.12,1.74,47.01,216.0,13.6,193.7,50.8,19.2,28.3,128.7
72,26.78,1.6,43.13,196.2,12.5,179.0,46.2,18.1,25.7,119.3
73,25.17,1.53,40.62,184.5,11.9,169.6,43.9,16.8,24.4,112.1
74,24.68,1.5,39.32,182.9,11.4,164.2,42.6,16.4,24.0,107.9
75,24.68,1.46,39.6,182.4,11.6,163.4,42.3,16.3,23.7,106.7
76,24.98,1.52,40.37,184.2,11.7,166.9,43.0,16.7,23.9,109.2
77,26.99,1.63,43.88,197.4,12.7,181.9,46.9,18.4,26.1,121.6
78,29.7,1.77,48.14,219.4,13.8,198.1,52.0,19.7,29.0,130.2
79,32.27,1.89,50.99,230.8,14.7,212.8,55.5,21.3,31.0,139.1
80,34.23,2.06,54.25,248.8,16.0,227.0,59.5,22.5,32.5,148.6
81,35.93,2.1,56.77,259.7,16.5,236.4,62.0,23.4,34.1,156.0
82,36.34,2.16,56.94,261.8,16.7,240.8,62.4,23.8,35.0,157.1
83,36.87,2.21,59.5,272.1,17.3,246.3,64.5,24.8,35.2,160.8
84,37.9,2.24,59.33,277.0,17.7,249.9,64.9,25.1,36.5,164.9
85,37.36,2.21,59.13,270.2,17.2,247.2,64.1,24.9,35.4,161.5
86,36.1,2.2,59.14,269.5,17.0,243.9,63.2,24.7,34.9,162.1
87,36.15,2.17,56.56,265.5,16.4,238.2,61.6,23.6,34.7,156.3
88,34.07,2.06,55.28,254.0,15.8,228.1,58.7,22.6,33.3,152.5
89,33.77,2.02,52.98,247.2,15.7,224.0,57.4,22.6,32.9,148.4
90,37.13,2.23,59.26,276.0,17.6,248.7,65.4,24.5,36.4,163.3
91,37.32,2.27,59.4,275.5,17.5,249.0,64.6,24.9,36.1,164.6
92,35.45,2.08,55.69,258.7,16.6,235.0,60.3,23.5,34.0,155.3
93,32.82,2.0,53.26,241.8,15.4,219.4,57.3,22.3,32.0,146.2
94,31.18,1.91,50.68,229.0,14.8,209.8,53.9,20.9,30.7,136.9
95,29.22,1.73,46.79,217.3,13.4,194.7,51.0,19.7,28.0,130.4
96,27.59,1.64,43.31,197.1,12.7,181.6,47.1,18.4,26.2,118.6
97,25.75,1.55,41.82,191.1,11.9,172.4,44.4,17.2,25.3,114.2
98,25.12,1.52,40.3,184.1,11.6,167.4,44.1,16.7,24.0,109.0
99,24.61,1.5,39.69,182.6,11.7,165.8,43.2,16.7,23.9,108.1
100,25.76,1.53,41.27,187.1,11.8,169.7,43.6,17.2,24.9,112.9
101,27.79,1.68,44.92,207.9,13.0,186.4,48.7,18.8,26.9,122.4
102,30.53,1.84,48.2,219.5,14.3,201.7,52.6,19.9,29.4,132.8
103,32.18,1.96,51.61,235.8,15.3,215.6,56.9,21.3,31.2,141.5
104,34.63,2.08,55.54,251.7,16.0,228.3,59.6,22.9,32.8,150.2
105,35.96,2.12,57.66,259.8,16.4,237.0,61.1,24.0,34.8,157.3
106,35.56,2.16,57.99,263.0,16.7,239.9,62.7,23.8,34.7,159.0
107,35.53,2.14,57.09,262.1,16.8,236.7,61.0,23.9,34.6,154.6
108,35.8,2.17,57.33,267.7,16.8,241.6,62.1,24.3,35.4,160.0
109,35.96,2.14,56.58,259.0,16.7,238.4,62.0,24.0,34.4,156.5
110,35.37,2.11,55.46,253.2,16.1,232.5,59.6,23.5,33.3,155.1
111,34.24,2.02,53.81,246.8,15.7,227.3,59.3,23.0,33.1,148.0
112,32.95,1.97,53.56,240.1,15.2,220.2,57.6,22.0,32.4,146.5
113,33.45,1.96,53.47,243.0,15.4,220.3,57.8,21.9,31.5,145.3
114,35.95,2.22,58.97,263.6,17.3,242.9,62.3,24.4,35.7,158.2
115,36.92,2.18,58.45,270.9,17.3,244.1,63.8,24.1,35.7,163.4
116,35.06,2.06,55.05,251.1,16.2,231.5,59.9,23.3,33.7,150.9
117,32.87,1.97,51.27,235.4,15.3,216.6,55.8,21.5,31.5,143.0
118,31.65,1.87,50.35,228.1,14.7,209.5,54.0,21.0,30.1,138.7
119,29.28,1.79,46.58,214.1,13.9,196.2,51.4,19.7,28.7,130.1
120,26.67,1.62,43.21,197.1,12.5,179.9,47.4,17.9,26.5,120.5
121,25.97,1.54,41.1,189.4,12.1,170.8,43.9,17.0,24.8,112.9
122,24.77,1.49,39.96,180.1,11.3,164.5,43.3,16.5,24.0,108.7
123,24.39,1.46,38.55,180.3,11.3,162.2,42.7,16.5,23.3,107.4
124,24.42,1.46,39.37,181.2,11.5,162.3,42.7,16.3,23.4,106.6
125,24.73,1.53,40.04,183.8,11.7,167.3,43.4,16.6,24.2,110.7
126,25.71,1.54,41.48,185.3,11.8,170.3,44.8,17.2,24.7,111.8
127,27.83,1.64,44.45,199.1,12.8,183.4,48.2,18.2,26.7,122.5
128,29.63,1.8,47.05,219.3,14.0,197.7,51.8,19.8,28.9,129.0
129,30.99,1.89,49.84,224.8,14.7,207.4,54.3,20.8,29.7,137.4
130,31.66,1.87,49.83,227.2,14.7,208.2,53.7,20.9,30.3,136.7
131,31.77,1.89,51.14,230.6,15.0,212.0,55.9,21.2,30.3,140.5
132,32.35,1.93,51.2,237.2,15.1,214.3,55.8,21.5,30.7,140.7
133,31.34,1.86,49.71,227.7,14.5,209.9,55.2,21.0,30.4,139.5
134,29.77,1.82,47.6,221.9,13.9,201.1,51.6,20.0,28.7,132.2
135,29.2,1.77,47.25,217.6,13.6,195.2,50.6,19.5,28.5,128.7
136,29.58,1.75,46.62,215.6,13.6,194.9,50.8,19.3,27.9,126.9
137,30.1,1.81,47.77,221.8,14.0,200.4,52.7,20.2,29.5,133.9
138,34.03,2.01,54.57,250.3,15.5,224.5,58.9,22.2,33.0,147.2
139,33.99,2.03,53.58,249.5,15.8,226.4,58.5,22.6,33.1,149.5
140,31.9,1.92,51.11,240.4,15.2,215.7,55.9,21.3,31.3,144.1
141,29.86,1.81,48.19,219.3,13.9,201.2,51.9,20.4,29.3,134.0
142,28.91,1.74,46.53,214.1,13.7,195.0,50.0,19.4,28.5,129.0
143,27.56,1.64,44.04,203.1,12.8,183.3,47.6,18.5,26.3,121.9
144,25.47,1.52,40.86,187.3,12.0,170.7,44.0,17.2,25.0,112.8
145,24.51,1.47,38.29,178.7,11.1,161.2,41.5,16.2,23.1,107.4
146,23.4,1.41,37.9,170.8,11.0,156.0,40.2,15.7,22.5,103.2
147,23.1,1.39,37.6,169.2,10.8,155.5,39.9,15.6,22.6,101.5
148,23.16,1.43,37.97,171.2,10.9,156.2,41.2,15.9,22.6,102.1
149,23.76,1.42,38.62,177.3,11.2,159.3,41.4,15.9,23.4,103.9
150,23.82,1.43,38.31,178.3,11.3,160.9,41.7,16.0,23.5,106.0
151,26.04,1.58,41.25,190.9,12.0,173.0,44.6,17.3,25.5,113.8
152,27.95,1.71,44.86,205.4,13.1,188.1,48.3,18.6,27.2,125.5
153,29.16,1.77,47.05,211.0,13.8,194.4,51.3,19.6,28.0,128.2
154,29.8,1.76,46.69,219.8,14.0,197.4,51.4,19.5,28.8,131.8
155,30.86,1.8,49.15,225.7,14.0,202.9,53.0,20.0,29.1,133.9
156,30.53,1.81,49.23,224.5,14.3,204.0,53.6,20.2,29.9,134.3
157,28.37,1.74,45.97,211.2,13.4,191.4,49.8,19.1,27.8,126.9
158,26.97,1.65,43.78,197.8,12.8,181.0,47.6,18.2,25.9,121.1
159,26.15,1.56,42.34,192.3,12.1,175.7,45.6,17.7,25.1,115.3
160,25.71,1.58,42.27,193.1,12.0,173.8,45.7,17.5,25.4,113.4
161,26.75,1.6,43.18,195.4,12.5,178.1,46.3,18.0,25.9,119.0
162,30.62,1.84,49.85,224.1,14.5,205.4,53.1,20.8,29.5,137.6
163,31.43,1.93,51.56,231.4,14.7,211.9,55.3,20.9,30.8,139.9
164,31.95,1.9,50.05,231.8,14.8,210.2,54.2,21.0,30.1,140.4
165,30.43,1.78,48.04,223.0,14.0,201.0,51.5,20.3,29.0,132.7
166,29.02,1.7,46.41,212.4,13.4,191.2,50.1,19.2,27.5,127.7
167,26.88,1.61,42.34,196.7,12.5,177.0,46.6,17.6,25.5,116.4
168,24.56,1.48,39.11,183.6,11.5,165.3,43.5,16.7,24.2,107.5
169,23.51,1.43,37.81,170.9,11.1,157.4,40.8,15.7,22.8,103.0
170,22.72,1.39,37.23,166.9,10.9,153.7,39.9,15.2,22.2,100.0
171,23.13,1.37,36.98,167.4,10.6,152.4,39.5,15.2,22.3,100.7
172,23.62,1.44,37.96,172.6,11.2,158.0,40.8,15.7,22.9,104.8
173,27.19,1.64,43.12,197.9,12.6,180.3,47.3,17.9,26.4,119.2
174,30.13,1.8,47.21,218.1,13.7,198.1,51.3,19.7,28.3,132.1
175,32.09,1.88,50.4,230.3,14.7,211.4,55.4,20.9,30.9,139.6
176,33.38,2.02,53.93,245.3,15.4,222.5,58.4,22.4,32.0,144.8
177,34.01,2.09,55.4,253.1,16.1,228.9,58.9,23.2,33.2,151.9
178,35.14,2.11,56.22,258.9,16.2,235.0,60.2,23.5,34.4,153.5
179,34.97,2.1,57.25,263.4,16.4,236.1,60.7,23.7,34.3,154.8
180,35.0,2.12,56.14,261.4,16.2,234.7,60.7,23.4,34.1,154.7
181,35.51,2.12,55.82,254.9,16.1,233.3,61.2,23.1,33.8,154.9
182,34.67,2.08,54.98,254.7,16.4,231.8,60.2,23.3,34.0,151.7
183,34.0,2.05,54.68,247.9,15.7,227.2,58.3,22.5,33.1,150.6
184,33.2,1.96,52.36,238.0,15.1,219.2,56.2,21.9,31.7,144.2
185,32.14,1.93,52.62,238.6,15.2,217.2,56.4,21.8,31.8,141.5
186,36.67,2.2,58.62,268.7,16.9,242.3,63.0,24.0,35.2,162.3
187,36.12,2.21,58.08,266.5,17.0,242.4,62.3,24.1,34.9,158.1
188,34.71,2.05,54.03,253.2,16.0,228.5,58.9,23.0,33.2,150.0
189,32.16,1.89,50.97,231.0,14.8,211.7,55.3,20.9,30.5,141.7
190,30.34,1.83,48.84,224.4,14.1,202.6,53.2,20.3,29.8,132.9
191,27.97,1.67,44.54,206.7,13.0,185.2,48.6,18.3,26.6,121.2
192,25.19,1.52,40.56,184.6,11.9,170.2,43.8,17.3,24.8,111.5
193,23.9,1.44,38.59,174.5,11.3,160.5,41.4,15.9,23.5,105.0
194,23.65,1.43,37.21,170.1,11.0,156.8,41.3,15.8,22.7,103.4
195,23.74,1.42,37.82,170.4,11.0,156.3,40.9,15.5,22.4,103.5
196,24.02,1.46,38.73,178.6,11.4,160.7,42.4,16.2,23.5,107.5
197,27.04,1.63,44.33,202.3,12.8,182.2,47.3,18.4,26.3,121.8
198,30.34,1.8,48.61,223.3,13.9,200.7,52.4,19.9,29.0,134.2
199,32.24,1.91,50.78,237.0,15.1,213.4,54.7,21.7,31.0,139.2
200,33.76,2.02,53.64,248.8,15.6,225.7,59.5,22.8,32.5,150.0
201,35.09,2.07,55.93,252.8,16.5,233.0,59.9,23.5,34.0,151.6
202,35.63,2.17,56.83,263.5,16.7,237.9,61.6,24.0,34.5,158.4
203,36.22,2.16,57.52,265.5,17.2,242.9,63.7,24.3,35.1,159.3
204,37.02,2.17,58.35,265.1,17.0,243.2,62.6,24.0,35.0,161.6
205,36.14,2.16,57.66,265.7,16.5,238.1,61.6,23.9,34.4,157.5
206,35.26,2.1,56.87,259.8,16.3,235.3,61.6,23.8,33.7,155.9
207,34.09,2.09,54.99,250.7,16.1,229.5,60.1,22.6,33.1,151.4
208,33.7,2.01,52.85,246.4,15.4,222.1,58.5,22.1,32.7,145.4
209,33.31,1.98,52.24,238.0,15.5,219.5,57.7,22.1,31.6,143.1
210,36.43,2.19,58.49,265.7,17.2,243.1,63.6,24.4,35.7,162.2
211,36.97,2.21,58.56,271.3,17.0,244.1,63.2,24.8,35.2,162.1
212,34.21,2.04,55.41,256.2,15.8,229.6,59.0,22.8,32.9,150.9
213,31.83,1.91,51.31,230.1,14.8,212.3,55.1,21.3,31.0,138.2
214,30.33,1.83,49.16,223.5,14.4,203.7,53.5,20.4,29.7,134.9
215,28.02,1.68,45.33,208.4,13.3,186.9,49.0,18.7,27.4,125.2
216,25.88,1.57,41.01,192.2,12.2,173.3,45.7,17.3,24.8,114.1
217,24.76,1.46,38.66,179.6,11.4,163.2,42.8,16.2,23.7,106.2
218,23.85,1.42,37.86,174.1,10.9,157.9,41.1,15.8,22.8,105.2
219,23.81,1.43,37.93,174.9,11.2,157.6,40.6,15.9,23.0,103.8
220,24.08,1.47,38.92,180.7,11.4,162.5,42.5,16.1,23.8,107.4
221,27.58,1.66,43.76,203.5,12.8,182.4,47.8,18.4,26.3,118.8
222,29.87,1.8,47.37,219.8,13.9,199.6,51.5,19.9,29.3,130.1
223,31.91,1.9,50.46,235.1,14.7,211.9,55.0,21.4,30.5,138.2
224,34.47,2.05,55.34,254.8,16.2,228.5,59.4,23.0,33.6,148.7
225,35.31,2.13,57.2,264.2,16.8,237.0,61.9,24.0,34.8,154.7
226,35.5,2.15,57.74,257.7,16.7,237.7,62.3,24.1,34.9,156.2
227,36.31,2.17,58.29,267.3,16.8,241.2,61.8,24.5,35.5,160.4
228,36.87,2.19,58.9,270.8,17.3,243.5,64.1,24.0,34.9,159.4
229,35.62,2.14,57.98,262.4,16.8,239.2,62.3,24.1,34.2,157.4
230,35.77,2.14,56.05,261.9,16.4,235.1,61.1,23.6,33.8,157.0
231,34.2,2.04,53.53,245.0,16.0,225.0,57.8,22.3,32.8,150.0
232,33.02,1.94,52.63,243.1,15.2,217.9,56.2,22.0,31.4,145.1
233,33.0,1.96,52.93,238.3,15.2,219.4,56.6,22.0,31.8,146.5
234,36.92,2.2,58.27,266.0,17.1,244.4,64.2,24.7,35.7,162.5
235,37.07,2.23,59.0,267.9,17.2,246.3,64.6,24.5,36.0,160.9
236,34.9,2.08,56.53,260.0,16.2,233.8,61.2,23.4,33.5,153.5
237,32.32,1.96,51.96,242.3,15.1,217.7,56.5,21.5,31.5,143.9
238,31.29,1.86,49.99,225.9,14.5,208.1,54.5,20.7,30.1,136.9
239,29.24,1.74,45.9,212.1,13.6,192.1,50.4,19.1,27.7,128.0
240,26.57,1.57,41.82,192.5,12.5,176.6,45.6,17.9,26.0,117.1
241,24.83,1.49,39.82,185.7,11.6,167.3,44.0,16.6,24.1,109.6
242,24.23,1.44,38.64,177.9,11.2,162.2,42.2,16.0,23.8,107.3
243,24.43,1.46,38.94,176.3,11.4,161.9,42.3,16.1,23.4,105.7
244,25.29,1.52,39.95,184.6,11.8,166.8,43.3,16.9,24.0,111.1
245,25.38,1.53,40.7,185.6,11.8,169.9,44.2,16.8,24.3,111.8
246,31.44,1.9,50.61,233.1,14.9,209.9,54.1,21.2,30.8,138.4
247,33.18,1.98,52.85,247.2,15.6,222.4,58.6,22.5,32.0,146.8
248,34.62,2.1,55.06,251.2,16.1,230.3,60.3,23.3,33.6,150.6
249,35.8,2.12,56.31,260.9,16.8,236.9,62.1,23.5,34.2,156.1
250,35.82,2.19,58.12,268.2,16.7,240.3,62.1,23.8,34.8,156.8
251,36.74,2.18,58.44,270.0,17.0,244.6,64.4,24.3,35.3,161.1
252,36.88,2.26,60.39,271.6,17.2,248.0,64.4,25.0,35.6,165.5
253,37.04,2.22,60.01,274.1,17.5,246.9,64.6,24.7,35.9,162.9
254,36.21,2.21,57.75,264.5,17.0,242.9,63.6,24.3,35.5,162.0
255,35.7,2.13,57.77,261.4,16.4,237.4,61.7,23.9,34.4,157.0
256,34.57,2.05,54.88,253.7,15.8,228.3,59.4,22.5,33.1,149.0
257,33.45,2.02,53.78,249.1,15.7,225.1,58.2,22.6,32.9,149.2
258,37.77,2.24,60.08,274.1,17.5,250.5,65.6,24.9,36.6,164.3
259,38.14,2.29,60.33,275.2,17.7,253.4,65.7,25.1,36.7,166.0
260,35.88,2.17,57.26,263.3,16.9,240.4,62.1,24.4,35.3,161.0
261,33.31,1.98,52.67,242.1,15.6,222.2,57.6,22.1,32.7,144.9
262,31.22,1.87,51.17,231.0,14.9,210.2,54.2,20.9,30.8,138.7
263,29.31,1.77,46.11,213.3,13.6,194.8,51.3,19.7,28.6,129.7
264,26.57,1.63,43.34,199.5,12.4,179.2,46.8,17.8,26.1,116.6
265,25.74,1.54,40.51,183.5,11.8,169.2,44.3,16.7,24.3,112.4
266,24.95,1.49,40.0,181.3,11.7,165.2,43.1,16.6,24.2,109.5
267,24.79,1.46,39.54,182.3,11.5,164.4,42.2,16.3,24.0,109.5
268,25.31,1.51,40.98,184.8,11.8,168.3,43.7,16.7,24.7,111.4
269,28.49,1.69,44.58,203.8,13.0,187.5,48.7,18.8,27.4,122.2
270,31.22,1.88,49.9,226.5,14.7,207.7,54.8,20.6,30.3,135.5
271,33.39,1.98,52.65,239.7,15.2,219.5,57.0,22.0,32.0,143.0
272,34.7,2.12,55.75,256.5,16.2,232.4,60.3,23.5,33.4,153.4
273,36.22,2.16,56.95,260.3,17.0,238.9,61.3,23.8,34.2,157.0
274,36.58,2.2,58.45,266.4,17.1,241.5,62.7,23.8,34.6,159.2
275,36.92,2.2,58.5,268.9,17.2,244.3,63.8,24.6,35.0,160.0
276,36.26,2.18,58.54,270.1,17.0,244.3,62.8,24.8,35.6,163.5
277,36.02,2.15,58.11,265.0,17.0,239.3,62.5,23.9,35.0,159.2
278,35.06,2.11,55.85,255.7,16.3,233.5,60.1,23.4,33.5,152.0
279,34.84,2.06,54.26,251.0,15.9,228.9,58.9,22.8,33.3,152.3
280,33.06,2.0,51.88,240.0,15.3,219.0,56.2,22.1,31.8,142.4
281,32.77,1.97,52.31,237.5,15.4,218.9,57.7,21.6,31.8,143.0
282,36.81,2.17,59.52,272.5,16.9,244.9,64.5,24.8,35.3,163.4
283,36.83,2.2,58.36,273.0,17.2,245.0,64.3,24.3,35.5,161.7
284,34.64,2.11,56.51,256.8,16.4,232.4,59.8,23.5,33.5,151.8
285,31.81,1.91,50.83,235.0,15.2,214.3,55.2,21.5,30.6,141.7
286,30.83,1.82,49.6,224.8,14.4,205.1,52.7,20.6,29.4,136.6
287,28.54,1.7,45.59,210.5,13.1,188.7,49.0,19.0,27.6,125.5
288,26.46,1.57,41.56,191.4,12.2,174.9,45.7,17.4,25.6,114.2
289,25.12,1.49,39.39,183.5,11.7,165.4,42.8,16.5,24.2,109.4
290,23.91,1.45,38.53,175.5,11.1,159.6,41.5,15.8,23.4,105.7
291,24.03,1.43,37.69,171.4,11.0,158.2,41.2,15.7,22.8,105.9
292,23.75,1.43,38.31,171.5,11.1,157.5,41.3,15.6,22.7,103.5
293,24.98,1.46,39.28,180.1,11.6,164.7,43.0,16.5,24.0,107.4
294,25.09,1.53,40.48,185.2,11.7,168.3,44.4,16.9,24.4,111.8
295,27.52,1.66,43.81,200.3,12.7,184.5,48.3,18.2,27.0,122.0
296,30.0,1.81,48.41,219.1,14.0,201.4,52.7,19.9,29.3,133.9
297,31.27,1.89,50.69,227.5,14.4,208.8,54.7,20.6,30.4,139.5
298,31.68,1.87,50.85,233.6,14.8,211.3,55.6,20.9,30.6,139.0
299,32.77,1.94,51.84,235.6,15.1,215.6,55.6,21.8,31.6,144.3
300,33.27,1.99,52.84,242.0,15.3,218.8,57.0,22.1,31.9,143.1
301,32.12,1.88,50.54,232.6,15.0,211.3,55.6,21.1,30.4,140.9
302,30.23,1.8,49.06,225.2,14.4,203.0,53.2,20.2,29.5,135.9
303,30.09,1.77,48.29,215.9,14.0,199.2,52.0,19.7,28.8,130.6
304,29.7,1.77,48.04,218.1,13.8,198.0,51.9,19.9,29.1,131.7
305,30.15,1.83,48.18,222.1,14.3,202.6,53.2,20.0,29.2,135.1
306,33.85,2.08,54.0,247.9,15.9,228.1,60.2,22.5,33.4,151.1
307,34.39,2.06,55.63,250.8,15.9,230.2,60.5,22.7,33.1,153.5
308,33.68,2.02,53.55,247.3,15.4,222.8,57.5,22.6,32.1,148.4
309,31.69,1.89,50.83,228.7,14.9,210.8,54.4,20.9,31.0,138.9
310,30.69,1.82,47.88,219.4,14.4,202.2,53.1,19.9,29.1,131.8
311,28.56,1.68,45.92,205.5,13.1,189.5,49.0,19.1,27.6,123.7
312,26.0,1.58,42.44,191.8,12.4,174.3,45.0,17.4,25.2,114.8
313,24.51,1.49,39.81,182.9,11.5,164.5,42.4,16.6,23.8,109.7
314,23.9,1.45,38.56,174.3,11.1,158.8,41.1,16.0,23.2,105.4
315,23.19,1.4,37.85,174.3,10.8,156.7,40.3,15.8,22.7,103.9
316,23.74,1.42,38.14,171.4,11.1,156.8,40.6,15.6,22.7,103.5
317,24.35,1.43,38.51,176.2,11.2,160.8,42.2,16.0,23.2,107.6
318,24.4,1.44,38.72,180.7,11.3,162.0,41.7,16.1,23.3,107.7
319,26.37,1.58,41.81,193.2,12.1,175.0,46.1,17.7,25.1,115.7
320,28.64,1.72,46.44,212.8,13.3,190.8,49.2,19.3,27.6,125.6
321,30.17,1.77,47.03,216.6,14.0,198.5,52.3,20.1,28.8,131.2
322,29.85,1.8,48.64,224.3,14.0,201.9,53.2,19.9,29.4,134.4
323,30.83,1.87,50.29,230.8,14.6,208.0,53.7,21.0,29.8,137.2
324,31.44,1.86,49.73,228.2,14.8,208.8,53.7,20.9,30.5,138.3
325,29.41,1.76,47.93,217.9,13.8,197.9,51.2,19.5,29.1,131.0
326,28.37,1.66,45.32,204.0,13.1,186.5,48.5,18.7,27.3,121.5
327,26.52,1.6,42.55,194.3,12.5,178.8,46.8,18.1,25.8,118.3
328,26.28,1.61,42.35,195.2,12.4,177.4,46.3,17.7,25.7,117.1
329,27.89,1.64,44.34,201.8,12.7,183.3,47.5,18.2,26.4,122.8
